"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
2353072	"my twitter anniversary"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
789089	"sleepwet"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
143210	"maaral"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1369732	"vrouwendag"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1663463	"birkenau"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1441515	"temptation island"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
597000	"grootsmeteenzachte g"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2428520	"clinton"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2108402	"team fa"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2472255	"utopia"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
98672	"hilversum"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1109715	"over mijn lijk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
961673	"helpikbengeenhuisvrouw"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1419958	"praktijkcongres"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2282796	"doemee"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1500627	"community farming online"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
497192	"we go stem"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
158648	"hetverschilmakenin"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
942248	"bende van nijvel"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
732578	"vastgoed"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2108531	"bloemenmetsmaak"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
